kaleva_koetus_specification_a7,"Potion volume reduced to 50%.","Объем зелий уменьшен до 50%.","Volume das poções reduzido para 50%.","Volumen de pociones reducido al 50%.","Trankvolumen auf 50% reduziert.","Volume des potions réduit à 50%.","Volume delle pozioni ridotto al 50%.","Objętość mikstur zmniejszona do 50%.","药水量减少到50%。","ポーションの量が50%に減少する。","포션 용량이 50%로 줄어듭니다",,,,,,,,,,,,,
kaleva_koetus_description_a8,"The tablets have decayed away","Таблетки истлели","As tábuas sagradas se desintegraram","Las tablillas se han desintegrado","Die Tafeln sind zerfallen","Les tablettes se sont désagrégées","Le tavolette si sono sgretolate","Tablice rozpadły się","石板已经腐朽了","タブレットは朽ち果てました","석판이 썩어 사라졌습니다",,,,,,,,,,,,,
kaleva_koetus_specification_a8,"All tablets in the world vanish.","Все таблички в мире исчезают.","Todas as tábuas desaparecem do mundo.","Todas las tablillas desaparecen del mundo.","Alle Tafeln in der Welt verschwinden.","Toutes les tablettes du monde disparaissent.","Tutte le tavolette del mondo scompaiono.","Wszystkie tablice na świecie znikają.","世界中的所有石板都会消失。","世界中の石板が消失する。","세계의 모든 석판이 사라집니다",,,,,,,,,,,,,
kaleva_koetus_description_a9,"Perhaps three perks were too generous","Может, три благословения — это слишком","Três bênçãos podem ter sido demais","Quizás tres ventajas eran demasiado","Vielleicht waren drei Vorteile zu großzügig","Trois bénédictions, c'était peut-être trop","Forse tre vantaggi erano troppi","Może trzy perki to było za dużo","也许三个特典太奢侈了","特典が3つもあったのは贅沢だったのかもしれません","세 개의 특전은 너무 많았는지도 모릅니다",,,,,,,,,,,,,
kaleva_koetus_specification_a9,"Perk list shows one fewer option.","Список перков короче на один.","A lista de bênçãos mostra uma a menos.","La lista de ventajas muestra una menos.","Eine weniger im Perk-Menü.","Une bénédiction de moins dans la liste.","Una scelta di perk in meno.","Jedna opcja mniej w liście perków.","特典列表减少了一个选项。","一覧に並ぶ特典が1つ減る。","특전 목록의 선택지가 하나 줄었습니다",,,,,,,,,,,,,
kaleva_koetus_description_a10,"Your body is being consumed by fungi","Твое тело поражено грибами","Seu corpo está sendo tomado por fungos","Tu cuerpo está siendo invadido por hongos","Dein Körper wird von Pilzen befallen","Votre corps est envahi par les champignons","Il tuo corpo è invaso dai funghi","Twoje ciało zostało porażone grzybem","你的身体正被真菌侵蚀","あなたの体は真菌に蝕まれつつあります","당신의 몸이 진균에 잠식되고 있습니다",,,,,,,,,,,,,
kaleva_koetus_specification_a10,"A fungal shift triggers every 15 minutes.","Каждые 15 минут происходит грибной сдвиг.","Uma mutação fúngica ocorre a cada 15 minutos.","Un cambio fúngico ocurre cada 15 minutos.","Alle 15 Minuten tritt ein Pilzshift auf.","Un changement fongique survient toutes les 15 minutes.","Uno shift fungino avviene ogni 15 minuti.","Zmiana grzybowa co 15 minut.","每15分钟发生一次真菌变化。","15分毎にきのこシフトが発動する。","15分마다 버섯 변이가 발생합니다",,,,,,,,,,,,,
kaleva_koetus_description_a11,"The caves are livelier than before","Пещеры стали оживленнее","As cavernas estão mais agitadas","Las cuevas están más activas","Die Höhlen sind lebhafter geworden","Les cavernes sont plus agitées","Le caverne sono più vivaci","Jaskinie są bardziej ruchliwe","洞穴比以前更热闹了","洞窟がより騒がしくなりました","동굴이 이전보다 시끄럽습니다",,,,,,,,,,,,,
kaleva_koetus_specification_a11,"Enemies may duplicate themselves.","Некоторые враги появляются в двойном числе.","Inimigos podem se duplicar.","Algunos enemigos pueden duplicarse.","Feinde können sich verdoppeln.","Certains ennemis peuvent se dupliquer.","Alcuni nemici possono duplicarsi.","Niektórzy wrogowie pojawiają się podwójnie.","敌人可能会自我复制。","敵が2体以上増殖していることがある。","적이 복제되어 여러 마리로 나타납니다",,,,,,,,,,,,,
kaleva_koetus_description_a12,"The mountain is parched","Гора иссохла","A montanha está seca","La montaña está reseca","Der Berg ist ausgetrocknet","La montagne est desséchée","La montagna è arida","Góra wyschła","圣山干涸了","山はカラカラです","산이 바짝 말랐습니다",,,,,,,,,,,,,
kaleva_koetus_specification_a12,"The Holy Mountain loses its water.","Святая гора лишается воды.","A montanha perde sua água.","La montaña sagrada se queda sin agua.","Das Wasser verschwindet im Heiligen Berg.","La montagne sacrée perd son eau.","La montagna sacra perde l'acqua.","Święta Góra traci wodę.","圣山的水消失了。","山の水がなくなる。","성산의 물이 사라집니다",,,,,,,,,,,,,
kaleva_koetus_description_a13,"You sense unfamiliar enemies","Ты чувствуешь чуждых врагов","Sentes inimigos estranhos","Enemigos desconocidos aparecen","Du spürst fremdartige Feinde","Des ennemis inhabituels apparaissent","Avverti nemici insoliti","Czujesz obcych wrogów","出现了不同寻常的敌人","雰囲気の違う敵が現れたようです","이질적인 적이 나타났습니다",,,,,,,,,,,,,
kaleva_koetus_specification_a13,"Elite enemies appear with extra abilities.","Появляются элитные враги с новыми умениями.","Inimigos de elite aparecem com habilidades extras.","Aparecen enemigos élite con habilidades adicionales.","Elite-Feinde erscheinen mit neuen Fähigkeiten.","Des ennemis d'élite apparaissent avec des capacités supplémentaires.","Appaiono nemici élite con abilità extra.","Pojawiają się elitarni wrogowie z dodatkowymi zdolnościami.","精英敌人出现并带有额外能力。","エリート個体が出現、青色に光る。2～4つのアビリティが追加で付与されている。","엘리트 적이 등장하며 추가 능력을 가집니다",,,,,,,,,,,,,
kaleva_koetus_description_a14,"Gold no longer waits for you","Золото больше не ждет тебя","O ouro não espera mais por você","El oro ya no te espera","Gold wartet nicht länger auf dich","L'or ne t'attend plus","L'oro non ti aspetta più","Złoto już na ciebie nie czeka","金子不再等你","ゴールドはあなたを待たなくなりました","금괴가 당신을 기다리지 않습니다",,,,,,,,,,,,,
kaleva_koetus_specification_a14,"Gold disappears faster after dropping.","Золото исчезает быстрее.","O ouro desaparece mais rápido.","El oro desaparece más rápido.","Gold verschwindet schneller.","L'or disparaît plus vite.","L'oro scompare più rapidamente.","Złoto znika szybciej.","金块掉落后更快消失。","金塊が取れる時間が短くなる。","금괴가 더 빨리 사라집니다",,,,,,,,,,,,,
kaleva_koetus_description_a15,"Spell creation has become unstable","Создание заклинаний нестабильно","A criação de feitiços tornou-se instável","La creación de hechizos se ha vuelto inestable","Zaubererstellung ist instabil geworden","La création de sorts est devenue instable","La creazione di incantesimi è instabile","Tworzenie zaklęć jest niestabilne","法术生成变得异常","呪文の生成にイレギュラーが発生しています","주문 생성이 불안정해졌습니다",,,,,,,,,,,,,
kaleva_koetus_specification_a15,"Spells may break. Some stats degrade.","Заклинания ломаются. Статы ухудшаются.","Feitiços podem quebrar. Alguns status degradam.","Hechizos pueden romperse. Algunos atributos empeoran.","Zauber können zerbrechen. Einige Werte sinken.","Les sorts peuvent se briser. Certains stats diminuent.","Gli incantesimi possono rompersi. Alcuni parametri peggiorano.","Zaklęcia mogą się psuć. Niektóre statystyki słabną.","法术有50%几率损坏，部分属性下降。","呪文は20%で壊れる。ステータスの一部が劣化する。","주문이 50% 확률로 부서지고 일부 능력치가 약화됩니다",,,,,,,,,,,,,
kaleva_koetus_description_a16,"Biomes shift constantly now","Биомы меняются постоянно","Biomas mudam constantemente","Los biomas cambian constantemente","Biome ändern sich ständig","Les biomes changent constamment","I biomi cambiano continuamente","Biomy zmieniają się stale","现在生物群落不断变化","いつもよりもバイオームの動きが活発です","바이옴이 끊임없이 변화합니다",,,,,,,,,,,,,
kaleva_koetus_specification_a16,"Biome changes occur continuously. Biomes excluded by vanilla rules are not affected.","Биомы меняются непрерывно. Биомы, исключённые правилами оригинала, не затрагиваются.","Mudanças de bioma ocorrem continuamente. Biomas excluídos pelas regras padrão não são afetados.","Los cambios de bioma ocurren continuamente. Los biomas excluidos por las reglas base no se ven afectados.","Biome ändern sich fortlaufend. Von den Standardregeln ausgeschlossene Biome sind ausgenommen.","Les changements de biome sont continus. Les biomes exclus par les règles de base ne sont pas affectés.","I biomi cambiano in continuo. I biomi esclusi dalle regole vanilla non sono interessati.","Biomy zmieniają się stale. Biomy wyłączone przez zasady podstawowe nie są objęte.","地形变化会持续发生。被原版规则排除的生物群落不受影响。","常にバイオーム変化が起きるようになる。対象外のバイオーム（公式準拠）は適応されない。","지속적으로 바이옴이 변화합니다. 바닐라에서 제외된 바이옴은 영향받지 않습니다",,,,,,,,,,,,,
kaleva_koetus_description_a17,"You need allies to claim Sampo","Чтобы получить Сампо, нужны союзники","É preciso aliados para obter o Sampo","Necesitas aliados para obtener el Sampo","Du brauchst Verbündete, um den Sampo zu bekommen","Il faut des alliés pour obtenir le Sampo","Servono alleati per ottenere il Sampo","Potrzebujesz sojuszników, by zdobyć Sampo","获得桑波需要协力者","サンポの取得には協力が不可欠です","삼포를 얻으려면 협력이 필요합니다",,,,,,,,,,,,,
kaleva_koetus_specification_a17,"You cannot pick up Sampo alone. If an ally strays too far, they will lose sight of you.","Нельзя поднять Сампо в одиночку. Если союзник уйдёт далеко, он потеряет тебя из виду.","Não é possível pegar o Sampo sozinho. Se o aliado se afastar demais, perderá você de vista.","No puedes recoger el Sampo solo. Si el aliado se aleja, te perderá de vista.","Du kannst den Sampo nicht alleine aufheben. Entfernt sich der Verbündete zu weit, verliert er dich aus den Augen.","Impossible de ramasser le Sampo seul. Si l'allié s'éloigne trop, il te perdra de vue.","Non puoi prendere il Sampo da solo. Se l'alleato si allontana troppo, ti perderà di vista.","Nie podniesiesz Sampo sam. Sojusznik, który odejdzie za daleko, straci cię z oczu.","没有协力者无法拾取桑波。协力者离得太远会看丢你。","協力者いない場合、サンポを拾えない。協力者は一定距離を離れるとプレイヤーを見失う。","혼자서는 삼포를 집을 수 없습니다. 동료가 멀어지면 당신을 놓칩니다",,,,,,,,,,,,,
kaleva_koetus_description_a18,"The Holy Mountain’s healing weakens","Святая гора лечит хуже","A cura da Montanha Sagrada enfraqueceu","La curación de la Montaña Sagrada se debilita","Die Heilung des Heiligen Berges wird schwächer","La guérison de la Montagne Sacrée faiblit","La guarigione della Montagna Sacra è più debole","Święta Góra słabiej leczy","圣山的治愈力减弱","聖なる山の回復力が弱まっているようです","성산의 회복력이 약해졌습니다",,,,,,,,,,,,,
kaleva_koetus_specification_a18,"Heart restores only 80% of HP.","Сердце восстанавливает 80% здоровья.","Corações curam apenas 80% da vida.","El corazón cura solo el 80% de la vida.","Herzen heilen nur 80% HP.","Les cœurs ne soignent que 80%.","I cuori curano solo l'80%.","Serca przywracają tylko 80% HP.","心形恢复80%的生命值。","ハートで回復できるHPの量が80%になる。","하트가 HP의 80%만 회복합니다",,,,,,,,,,,,,
kaleva_koetus_description_a19,"In the depths, the Eye is unsealed","В глубинах пробудился Глаз","No abismo, o Olho foi libertado","En las profundidades, el Ojo ha despertado","In der Tiefe wurde das Auge entfesselt","Dans les profondeurs, l’Œil est libéré","Nelle profondità, l’Occhio è liberato","W głębinach Oko zostało uwolnione","地底深处的眼被释放","地の奥底で、眼が解き放たれました","지하 깊숙이에서 눈이 풀려났습니다",,,,,,,,,,,,,
kaleva_koetus_specification_a19,"The final boss becomes stronger.","Финальный босс становится сильнее.","O chefe final torna-se mais forte.","El jefe final se vuelve más fuerte.","Der Endboss wird stärker.","Le boss final devient plus fort.","Il boss finale diventa più forte.","Ostatni boss staje się silniejszy.","最终Boss变强。","最終ボスが強くなる。","최종 보스가 강화됩니다",,,,,,,,,,,,,
kaleva_koetus_description_a20,"Sampo reveals its true power in a new world","Сампо раскрывает свою силу в новом мире","O Sampo mostra seu verdadeiro poder em um novo mundo","El Sampo revela su poder en un nuevo mundo","Der Sampo zeigt seine wahre Macht in einer neuen Welt","Le Sampo révèle son vrai pouvoir dans un nouveau monde","Il Sampo rivela il suo vero potere in un nuovo mondo","Sampo ukazuje swoją moc w nowym świecie","桑波在新世界中展现真正的力量","サンポは新しい世界で真価を発揮します","삼포는 새로운 세계에서 진정한 힘을 드러냅니다",,,,,,,,,,,,,
kaleva_koetus_specification_a20,"Defeating the boss warps you to New Game+. Clear the new world to complete the challenge.","После победы над боссом вы переноситесь в New Game+. Пройдите новый мир, чтобы завершить испытание.","Ao derrotar o chefe, você é transportado para o New Game+. Complete o novo mundo para concluir o desafio.","Al derrotar al jefe, te transportarás al New Game+. Completa el nuevo mundo para superar el desafío.","Nachdem du den Boss besiegt hast, wirst du in New Game+ teleportiert. Besiege die neue Welt, um die Prüfung abzuschließen.","Vaincre le boss vous transporte vers le New Game+. Terminez le nouveau monde pour relever le défi.","Sconfiggendo il boss verrai trasportato nel New Game+. Completa il nuovo mondo per superare la prova.","Po pokonaniu bossa zostaniesz przeniesiony do New Game+. Ukończ nowy świat, aby zakończyć wyzwanie。","击败Boss后你会被传送到New Game+。在新的世界中通关以完成试炼。","ボス討伐時にNewGame+へワープする。新たな世界でクリアする。","보스를 처치하면 New Game+로 워프됩니다. 새로운 세계를 클리어하세요.",,,,,,,,,,,,,
kaleva_koetus_fungal_shift_curse_next,"Fungal Curse","Грибное проклятие","Maldição Fúngica","Maldición Fúngica","Pilzfluch","Malédiction Fongique","Maledizione Fungina","Grzybowa Klątwa","真菌的诅咒","真菌の呪い","진균의 저주",,,,,,,,,,,,,
kaleva_koetus_fungal_shift_curse_next_description,"The fungal curse will strike again","Грибное проклятие вернётся","A maldição fúngica voltará","La maldición fúngica volverá","Der Pilzfluch wird wieder zuschlagen","La malédiction fongique reviendra","La maledizione fungina tornerà","Klątwa grzybowa znów uderzy","真菌的诅咒将再次来袭","真菌の呪いは何度もあなたを襲う","진균의 저주가 다시 찾아올 것이다",,,,,,,,,,,,,
kaleva_koetus_fungal_shift_curse_again,"The fungal episode subsides temporarily","Грибной припадок утих","Os fungos se acalmam por um tempo","El brote fúngico se calma temporalmente","Der Pilzanfall lässt vorübergehend nach","La crise fongique se calme temporairement","La crisi fungina si placa temporaneamente","Epidemia grzybowa chwilowo ustępuje","真菌发作暂时平息","真菌の発作は一時的に落ち着いた…","진균의 발작이 잠시 가라앉았다…",,,,,,,,,,,,,
kaleva_koetus_fungal_shift_curse_again_description,"It will return soon...","Скоро вернется...","Voltará em breve...","Volverá pronto...","Es wird bald zurückkehren...","Elle reviendra bientôt...","Tornerà presto...","Wkrótce powróci...","它很快会再次来临……","…しばらくすると再発するぞ！","곧 다시 찾아올 것이다!",,,,,,,,,,,,,
kaleva_koetus_incomplete_prefix,"Incomplete ","Неполное ","Incompleto ","Incompleto ","Unvollständig ","Incomplet ","Incompleto ","Niekompletne ","未完成的","未完成の","불완전한",,,,,,,,,,,,,
kaleva_koetus_no_kindness,"Without collaborators, you cannot get Sampo","Без союзников Сампо не достанется","Sem colaboradores, você não obterá o Sampo","Sin aliados, no obtendrás el Sampo","Ohne Verbündete bekommst du den Sampo nicht","Sans alliés, pas de Sampo","Senza collaboratori, niente Sampo","Bez towarzyszy nie zdobędziesz Sampo","没有协力者，你无法获得桑波","協力者がいなければ、サンポは得られない","협력자가 없으면 삼포를 얻을 수 없습니다",,,,,,,,,,,,,
kaleva_koetus_ascension_info_name,"Ascension Info","Информация о Вознесении","Informações de Ascensão","Información de Ascensión","Aufstiegsinformationen","Infos d’Ascension","Info Ascensione","Informacje o Awansie","试炼信息","試練リスト","시련 정보",,,,,,,,,,,,,
kaleva_koetus_new_game_plus_friend_gone,"Your ally has departed, content.","Ваш союзник ушёл, удовлетворённый.","Seu aliado partiu satisfeito.","Tu aliado se ha marchado satisfecho.","Dein Verbündeter ist zufrieden davongegangen.","Votre allié est parti, satisfait.","Il tuo alleato se n'è andato soddisfatto.","Twój sojusznik odszedł zadowolony。","你的同伴满意地离开了。","協力者は満足して去っていきました","동료는 만족하며 떠났습니다",,,,,,,,,,,,,
kaleva_koetus_new_game_plus_friend_gone_description,"In the New Game, you'll face the challenge without your ally.","В новом прохождении вам придётся справляться без союзника.","No Novo Jogo, você enfrentará o desafio sem seu aliado.","En el Nuevo Juego, deberás superar el desafío sin tu aliado.","Im Neuen Spiel musst du die Herausforderung ohne deinen Verbündeten meistern.","Dans la Nouvelle Partie, vous devrez relever le défi sans votre allié.","Nel Nuovo Gioco affronterai la sfida senza il tuo alleato.","W Nowej Grze zmierzysz się z wyzwaniem bez swojego sojusznika.","在新游戏中，你将独自面对挑战。","NewGameでは協力者なしでのクリアになる","새로운 게임에서는 동료 없이 도전해야 합니다",,,,,,,,,,,,,
kaleva_koetus_reward_ascension20,"The Chosen One","Избранный","O Escolhido","El Elegido","Der Auserwählte","L'Élu","Il Prescelto","Wybraniec","被选中的人","選ばれしもの","선택받은 자",,,,,,,,,,,,,
kaleva_koetus_reward_ascension20_nightmare,"The Feared One","Избранный","O Escolhido","El Elegido","Der Auserwählte","L'Élu","Il Prescelto","Wybraniec","被选中的人","恐れられしもの","선택받은 자",,,,,,,,,,,,,
kaleva_koetus_beyond,"Beyond","Откровение","Revelação","Revelación","Offenbarung","Révélation","Rivelazione","Objawienie","天启","天啓","계시",,,,,,,,,,,,,
kaleva_koetus_description_b1,"Enemies are far tougher than before.","Враги стали ещё крепче, чем прежде.","Os inimigos estão ainda mais resistentes.","Los enemigos son aún más duros que antes.","Feinde sind jetzt noch zäher als zuvor.","Les ennemis sont encore plus résistants qu'avant.","I nemici sono ancora più forti di prima.","Wrogowie są jeszcze twardsi niż wcześniej.","敌人变得比以前更强大。","敵が以前よりもさらに固くなったようです。","적들이 전보다 훨씬 더 단단해졌습니다。",,,,,,,,,,,,,
kaleva_koetus_specification_b1,"Enemy HP increases significantly beyond A1. Bosses are even stronger.","Здоровье врагов значительно увеличено по сравнению с A1. Боссы стали ещё сильнее.","A vida dos inimigos aumenta significativamente além do A1. Chefes estão ainda mais fortes.","La vida de los enemigos aumenta significativamente más allá del A1. Los jefes son aún más poderosos.","Die HP der Feinde steigen deutlich über A1 hinaus. Bosse sind noch stärker.","Les PV des ennemis augmentent considérablement au-delà de l'A1. Les boss sont encore plus puissants.","La salute dei nemici aumenta sensibilmente oltre l'A1. I boss sono ancora più forti.","Punkty życia wrogów wzrastają znacznie w porównaniu do A1. Bossowie są jeszcze silniejsi.","敌人的生命值相比A1显著提高，首领也更强。","敵のHPがA1よりも大幅に上昇し、ボスもさらに強化されている。","적의 HP가 A1보다 크게 증가하며 보스도 더욱 강력해집니다。",,,,,,,,,,,,,
kaleva_koetus_description_b2,"The shop has changed its marketing strategy","Магазин изменил свою маркетинговую стратегию","A loja mudou sua estratégia de marketing","La tienda ha cambiado su estrategia de marketing","Der Shop hat seine Marketingstrategie geändert","La boutique a changé sa stratégie marketing","Il negozio ha cambiato la sua strategia di marketing","Sklep zmienił swoją strategię marketingową","商店改变了他们的营销策略","商店はマーケティング戦略を変更しました","상점이 마케팅 전략을 변경했습니다",,,,,,,,,,,,,
kaleva_koetus_specification_b2,"Prices for all shop services have increased, restoring status now costs money.","Цены на все услуги магазина выросли, восстановление состояния теперь стоит денег.","Os preços de todos os serviços da loja aumentaram, restaurar o status agora requer pagamento.","Los precios de todos los servicios de la tienda han aumentado, restaurar el estado ahora requiere pago.","Die Preise für alle Dienste im Shop sind gestiegen, die Wiederherstellung des Status ist jetzt kostenpflichtig.","Les prix de tous les services de la boutique ont augmenté, restaurer l'état est désormais payant.","I prezzi di tutti i servizi del negozio sono aumentati, ripristinare lo stato ora è a pagamento.","Ceny wszystkich usług w sklepie wzrosły, przywrócenie stanu wymaga teraz opłaty.","商店所有服务的价格上涨，回复状态现在需要付费。","商店の全サービスの価格が上昇、状態の回復は有料になりました。","상점의 모든 서비스 가격이 인상되었으며, 상태 회복은 이제 유료입니다.",,,,,,,,,,,,,
kaleva_koetus_description_b3,"You are prone to injury","Вы подвержены травмам","Você se machuca fácil","Te lesionas con facilidad","Du bist verletzungsanfällig","Vous vous blessez facilement","Ti infortuni facilmente","Jesteś podatny na urazy","你容易受伤","怪我をしやすい","부상을 입기 쉽습니다",,,,,,,,,,,,,
kaleva_koetus_specification_b3,"Your HP is reduced to 70%, and you take increased damage.","Ваше здоровье снижено до 70%, и вы получаете больше урона.","Sua vida é reduzida a 70%, e você recebe mais dano.","Tu salud se reduce al 70%, y recibes más daño.","Deine Gesundheit wird auf 70% reduziert, und du erleidest mehr Schaden.","Votre santé est réduite à 70%, et vous subissez plus de dégâts.","La tua salute è ridotta al 70%, e subisci più danni.","Twoje zdrowie zostaje zredukowane do 70%, a ty otrzymujesz większe obrażenia.","你的生命值减少到70%，且受到更多伤害。","HPが70%に減少し、受けるダメージが増加します。","체력이 70%로 감소하고, 받는 피해가 증가합니다.",,,,,,,,,,,,,
kaleva_koetus_description_b4,"The gods are dissatisfied with the offerings","Боги недовольны подношениями","Os deuses estão insatisfeitos com as oferendas","Los dioses están descontentos con las ofrendas","Die Götter sind mit den Opfergaben unzufrieden","Les dieux sont mécontents des offrandes","Gli dei sono insoddisfatti delle offerte","Bogowie są niezadowoleni z ofiar","神明对供奉感到不满","神々は供物に不満を抱いています","신들이 공물에 불만을 품고 있습니다",,,,,,,,,,,,,
kaleva_koetus_specification_b4,"The Holy Mountain has dried up, the gods are easily angered.","Священная гора пересохла, богов легко разгневать.","A Montanha Sagrada secou, os deuses se enfurecem facilmente.","La Montaña Sagrada se ha secado, los dioses se enfadan con facilidad.","Der Heilige Berg ist ausgetrocknet, die Götter sind leicht zu verärgern.","La Montagne Sacrée s'est asséchée, les dieux se mettent facilement en colère.","La Montagna Sacra si è prosciugata, gli dei si arrabbiano facilmente.","Święta Góra wyschła, bogowie łatwo wpadają w gniew.","圣山干涸，神明容易被激怒。","聖なる山は干上がり、神々は激怒しやすくなっています。","신성한 산이 메말랐으며, 신들은 쉽게 분노합니다.",,,,,,,,,,,,,
